format	parent_ms_per_image	inline_ptx_ms_per_image	parent_minus_candidate_ms	speedup	parent_hash	parent_bytes	candidate_hash	candidate_bytes	byte_exact
PNG lossy	40.013154	40.227299	-0.214145	0.994677	ace64e860de89b43	6441688	3dbede51586f216b	6490880	false
JPEG lossy	40.002176	40.093932	-0.091756	0.997711	1cbb84d2ab926db3	6400792	26488704916c4bfb	6508848	false
