0	128.689374	125.891398	2.797975	06227eb38e0ac1e3	06227eb38e0ac1e3
1	128.064477	126.387509	1.676967	06227eb38e0ac1e3	06227eb38e0ac1e3
2	128.568599	127.114375	1.454225	06227eb38e0ac1e3	06227eb38e0ac1e3
3	128.869922	124.853257	4.016665	06227eb38e0ac1e3	06227eb38e0ac1e3
4	129.342940	125.364405	3.978535	06227eb38e0ac1e3	06227eb38e0ac1e3
5	128.955695	125.861931	3.093764	06227eb38e0ac1e3	06227eb38e0ac1e3
6	128.633763	126.125450	2.508313	06227eb38e0ac1e3	06227eb38e0ac1e3
7	128.469763	127.028041	1.441722	06227eb38e0ac1e3	06227eb38e0ac1e3
8	129.054689	127.156413	1.898277	06227eb38e0ac1e3	06227eb38e0ac1e3
9	129.522228	127.669025	1.853203	06227eb38e0ac1e3	06227eb38e0ac1e3
