format	write_wall_ms_per_image	gprofng_encodes	VP8EncWrite_user_total_ms	VP8EncWrite_user_ms_per_image	strace_encodes	all_memory_syscalls_total_ms	all_memory_syscalls_ms_per_image	generous_upper_bound_ms_per_image	gate_ms_per_image	decision
PNG	2.147932	360	50.000	0.138889	240	275.499	1.147913	1.286801	1.500	reject_without_source_candidate
JPEG	1.891696	360	50.000	0.138889	240	240.139	1.000579	1.139468	1.500	reject_without_source_candidate
