format	parent_process_medians_ms	candidate_process_medians_ms	balanced_parent_ms	balanced_candidate_ms	gain_ms	output_hash	output_bytes	decision
png	39.321537,39.623430	39.740409,39.413313	39.472484	39.576861	-0.104377	99f33682e7cc9063	6441688	reject_opposed_noise
jpeg	39.608702,39.542171	39.417916,39.496330	39.575436	39.457123	0.118313	1b9eceb1d93cad23	6400792	reject_noise
