format	parent_process_medians_ms	candidate_process_medians_ms	balanced_parent_ms	balanced_candidate_ms	gain_ms	output_hash	output_bytes	decision
png	39.658672,41.243554	38.738090,40.275256	40.451113	39.506673	0.944440	99f33682e7cc9063	6441688	reject_below_1.5_ms
jpeg	39.578484,39.660903	38.659091,38.797503	39.619694	38.728297	0.891397	1b9eceb1d93cad23	6400792	reject_below_1.5_ms
