format	parent_ms_per_image	candidate_ms_per_image	gain_ms_per_image	output_hash	output_bytes	decision
PNG	35.626467	35.063322	0.563145	455f70a1e139f043	6441688	reject
JPEG	33.736112	34.028240	-0.292129	0c4b078d5c4d3173	6400792	reject
